Date,Close,High,Low,Open,Volume,EMA10,EMA21,EMA50,EMA200,ATR14,ADX14,ROC63,RS_score,Volume_ratio
2021-06-21,15432.6240234375,15596.692664449158,15117.288292881598,15117.288292881598,11063,15432.6240234375,15432.6240234375,15432.6240234375,15432.6240234375,479.4043715675598,0.0,,,
2021-06-22,15523.12890625,15595.898957937314,15284.24242937289,15449.33494885454,16137,15449.079456676134,15440.851740056818,15436.173234528187,15433.524569535137,457.0379925004751,0.0,,,
2021-06-23,15296.626953125,15591.244478405542,15270.927463321244,15521.407919884256,10592,15421.360819666836,15427.74039579029,15430.700831335906,15432.162404197723,438.80852884498483,13.333333333333334,,,
2021-06-24,15268.5517578125,15364.04233628182,15215.057683323936,15280.23846899301,9503,15393.577353875138,15413.268701428671,15424.34204413891,15430.534437567025,400.16534539337147,24.888888888888893,,,
2021-06-25,15337.4111328125,15431.410406388912,15229.070813850743,15352.727889420876,6029,15383.36531368193,15406.372558827201,15420.932988792776,15429.607837519718,373.78857834601104,22.51868169337451,,,
2021-06-28,15669.7412109375,15736.504232198133,15271.112687263423,15419.91183936101,21242,15435.433658637488,15430.3151635645,15430.690173974923,15431.997224319895,386.0023072245042,29.589083823688505,,,
2021-06-29,15398.8203125,15745.815238540885,15298.861287358171,15626.627518225494,8739,15428.77668661249,15427.45199528591,15429.44037548571,15431.667105794326,394.1291930855988,35.79921367156458,,,
2021-06-30,15651.67578125,15736.96912907817,15362.552446758193,15515.30717850368,10954,15469.3037947284,15447.835975828099,15438.155489437251,15433.856246843636,391.5008583168493,41.181326206390516,,,
2021-07-01,15584.12109375,15713.225977887065,15503.716298181902,15666.99381150004,8099,15490.17966727778,15460.225532002816,15443.879630782849,15435.35141944967,367.23536783529113,45.845823736572996,,,
2021-07-02,15610.474609375,15643.297794896853,15513.960112895658,15587.521294632576,5269,15512.051474931819,15473.884539036651,15450.412767198228,15437.09393875241,335.5156763907449,49.88838826273114,,,
2021-07-05,15652.4658203125,15708.567848342293,15555.160228128045,15708.567848342293,5649,15537.581355910123,15490.11920097082,15458.336416339964,15439.236942549029,311.2346022338786,54.15175004124594,,,
2021-07-06,16041.2236328125,16099.373475861345,15621.505944122186,15643.38806433122,20820,15629.15267898328,15540.219603865518,15481.194738554574,15445.226859865083,333.452326167916,59.35292935385225,,,
2021-07-07,16072.2783203125,16160.17963231832,15883.346787038658,16160.17963231832,11796,15709.720977406774,15588.58857808797,15504.374486858807,15451.466177879487,325.9030620494823,63.95233857654177,,,
2021-07-08,16069.01953125,16093.462327098856,15924.55060462459,16072.371322377192,6314,15775.04798719645,15632.264119284519,15526.51742977611,15457.61098736576,304.9708834394534,67.93849323620601,,,
2021-07-09,16062.59375,16202.0813618321,16015.850541581154,16020.553597256632,32915,15827.329034978913,15671.384994804108,15547.540030569204,15463.630716347196,289.1388750143192,71.55148269178137,,,
2021-07-12,16126.2392578125,16332.442601852375,16026.092908807368,16145.420668173832,26123,15881.676348221383,15712.735382350325,15570.23411791208,15470.223836162771,291.43365075174427,74.82234744563685,,,
2021-07-13,16202.501953125,16240.260984753671,16034.523184347878,16160.18172068115,15861,15940.008276385677,15757.259616057114,15595.028934979253,15477.51018558528,280.00753737228416,77.65709689897827,,,
2021-07-14,16191.5126953125,16294.079680566278,16127.635889399626,16202.080930348224,5283,15985.73635255419,15796.737168716694,15618.420454992322,15484.614688169633,264.8657045448665,80.1681382519745,,,
2021-07-15,16142.9052734375,16202.08084213828,16026.232759488854,16191.512607160092,6140,16014.312519987518,15828.206996418585,15638.988487088212,15491.164843246926,252.99668829214124,77.51738450185134,,,
2021-07-16,16280.7158203125,16433.937947817023,16062.873056196811,16201.149433626177,24326,16062.749483682968,15869.344162227122,15664.154264861714,15499.021071874446,268.7391154025506,76.95201765380018,,,1.8509134348345468
2021-07-19,16408.2421875,16489.36456336394,16293.299112660716,16319.078526565,8646,16125.566338922426,15918.334891797384,15693.33418339655,15508.068048149327,260.72706575573574,76.75689749928857,,,0.6639609579284049
2021-07-20,16526.638671875,16562.682180158095,16177.173513106009,16367.420488209938,9865,16198.48858127744,15973.635235440803,15726.012790787863,15518.203079231174,277.36461259524924,72.68708732801731,,,0.776267385359904
2021-07-22,16583.634765625,16650.187845793862,16418.6942118219,16527.203503751065,11590,16268.515160249723,16029.08973818482,15759.645025095202,15528.804389543553,271.24848211214413,70.06748385742037,,,0.9084389194358117
2021-07-23,16854.390625,16886.69803869119,16478.532622665392,16536.66564237098,8469,16375.0379720225,16104.117091531654,15802.576225091469,15541.994302334166,289.50407330063115,69.56946774021708,,,0.6665118896308567
2021-07-26,16896.015625,17014.4120841933,16669.061824318727,16933.999238646655,7380,16469.761181654772,16176.107867301504,15845.456201558469,15555.467151315916,296.95023151049,69.81086003646433,,,0.5777360263034288
2021-07-27,17021.416015625,17034.28170357081,16858.31944671953,16863.097655685186,24249,16570.062060558448,16252.95406260364,15891.572272698333,15570.053707179688,280.8185015559285,70.12007647768361,,,1.8762258837001473
2021-07-28,16967.25390625,17014.41330892973,16846.492354671456,17014.41330892973,15320,16642.278759775094,16317.890412026036,15933.755866170948,15583.956196722676,266.6991894756105,69.98225976397572,,,1.1559297991458797
2021-07-29,17212.083984375,17246.18922821826,16839.442898811394,16951.784367316657,7232,16745.87970970235,16399.180736785034,15983.886380610322,15600.15647321673,285.37214146644453,71.04008955458659,,,0.5534425627329288
2021-07-30,17986.69921875,18206.13095964389,17075.85738577364,17208.35012236854,24423,16971.483256801923,16543.50059878185,16062.428060537368,15623.903167202136,398.025665786952,73.65633215655063,,,1.7591385457557531
2021-08-02,18684.826171875,18915.658383709277,17973.693412456323,17974.63944611138,46979,17283.00015045157,16738.16655997214,16165.267202158451,15654.360112522265,470.5509065157522,76.33444500581334,,,2.9418874068507734
2021-08-03,18226.9921875,18684.82439216882,18163.844447039588,18684.82439216882,17240,17454.63506627856,16873.514344292853,16246.119162367924,15679.958441626522,477.27501562504017,78.655476141841,,,1.0417831169498235
