Date,Close,High,Low,Open,Volume,EMA10,EMA21,EMA50,EMA200,ATR14,ADX14,ROC63,RS_score,Volume_ratio
2021-06-18,2737.050048828125,2784.75,2705.800048828125,2763.0,68877,2737.050048828125,2737.050048828125,2737.050048828125,2737.050048828125,78.949951171875,0.0,,,
2021-06-21,2720.75,2740.0,2694.5,2702.0,56558,2734.0864035866475,2735.568226207386,2736.410831227022,2736.887859287547,74.48995768229166,13.333333333333334,,,
2021-06-22,2781.550048828125,2787.60009765625,2725.0,2727.0,76431,2742.716157266916,2739.7483919001806,2738.1809966231435,2737.332259183473,73.47130967881944,14.40287827016949,,,
2021-06-23,2910.949951171875,2975.0,2852.550048828125,2910.199951171875,628736,2773.30411979509,2755.312170015789,2744.956249742702,2739.0597984072383,89.46846187789352,20.0085789393973,,,
2021-06-24,2973.949951171875,3008.0,2925.0,2945.0,345838,2809.7851800454146,2775.1883319390695,2753.936394896787,2741.397013857633,90.47934013792438,25.536134772281983,,,
2021-06-25,2929.800048828125,3030.0,2907.0,2985.0,199094,2831.6060652786346,2789.243942565347,2760.8330087764475,2743.2716709220163,94.81542811953446,30.74508827421385,,,
2021-06-28,2950.75,2989.0,2895.800048828125,2989.0,109501,2853.268598864337,2803.9263114230425,2768.280733922469,2745.336131907867,94.60003119317986,34.25759864755941,,,
2021-06-29,2910.449951171875,2975.0,2892.0,2966.0,95906,2863.6652083747986,2813.610278672936,2773.8559973440147,2746.9790554826336,93.05336036742254,36.93401293676662,,,
2021-06-30,2926.199951171875,2971.949951171875,2895.0,2937.0,105454,2875.035161610631,2823.845703445567,2779.8302700431464,2748.762347977054,90.90623914134954,39.25357198741287,,,
2021-07-01,2911.89990234375,2959.85009765625,2906.0,2928.0,49308,2881.7378417439254,2831.850630618129,2785.009471309837,2750.385607224484,85.9654202766696,41.26385649797295,,,
2021-07-02,2956.5,2990.0,2870.89990234375,2915.0,287616,2895.330961426848,2843.1823914710258,2791.7345900820005,2752.4364967048373,90.38337726061366,38.901941862750434,,,
2021-07-05,3045.050048828125,3097.0,2969.35009765625,2980.0,339882,2922.552613681625,2861.533996685307,2801.668529640672,2755.348074337905,97.06559362586518,41.057682764479445,,,
2021-07-06,3010.10009765625,3069.0,2976.0,3055.0,68362,2938.4703380406477,2875.0400058644836,2809.8423166216753,2757.882920341073,96.52351447574983,42.92599154597792,,,
2021-07-07,3006.64990234375,3035.10009765625,2980.0,3010.10009765625,67434,2950.8666224593935,2887.0045419080534,2817.560261159796,2760.3582136943332,91.00039223314985,44.54519248994326,,,
2021-07-08,3002.550048828125,3077.949951171875,2990.0,3009.0,156905,2960.2636090718897,2897.5086789007873,2824.8147626369855,2762.7680827006398,90.59366675831322,47.160558286768975,,,
2021-07-09,2991.5,3006.949951171875,2975.699951171875,3003.0,93799,2965.9429528770006,2906.053344455261,2831.351438612006,2765.0440221762556,82.6811778572048,47.84519655524698,,,
2021-07-12,3052.050048828125,3060.300048828125,3005.39990234375,3010.0,60954,2981.598788504478,2919.3257721255213,2840.006286071462,2767.8998035359755,80.8303606533275,49.94793606981247,,,
2021-07-13,3009.60009765625,3087.85009765625,2995.0,3070.0,91972,2986.689935622982,2927.532528991951,2846.6570237806695,2770.3047815869236,82.43299225371717,52.37127925802827,,,
2021-07-14,3022.64990234375,3033.949951171875,2995.0,3023.800048828125,80786,2993.228111390394,2936.1795629330236,2853.5587052929473,2772.815678310872,76.63525344280488,54.471510021148625,,,
2021-07-15,3030.64990234375,3052.0,3002.5,3030.0,55819,3000.0320733819135,2944.767775606726,2860.503458118469,2775.3811929778662,73.01721965043089,56.70619201159228,,,0.36732306056266845
2021-07-16,3031.050048828125,3057.949951171875,3003.800048828125,3040.0,50661,3005.6717052812246,2952.611618626853,2867.1915597149264,2777.9251616927945,70.50157734287343,58.780102346779884,,,0.3353904779054464
2021-07-19,3032.39990234375,3048.75,3000.64990234375,3002.0,41247,3010.531377474411,2959.865098964753,2873.6703182493898,2780.4572486644456,67.51471338465697,60.08640389949386,,,0.2744580722326376
2021-07-20,3003.949951171875,3039.449951171875,2936.0,3020.0,85734,3009.3347545103134,2963.8728128017638,2878.7793234620362,2782.6810566495947,72.30607842295271,53.66340053270797,,,0.5687149088824972
2021-07-22,3016.449951171875,3031.89990234375,2988.35009765625,3010.0,37741,3010.628426630597,2968.652552653592,2884.17817160752,2785.007115301558,68.47190859155901,48.09679761482686,,,0.31139271942848495
2021-07-23,3012.10009765625,3029.0,2990.0,3029.0,43315,3010.8960031807155,2972.6023294720153,2889.1947177270786,2787.266746966779,64.54232077935114,43.2724084193299,,,0.40834507822332416
2021-07-26,3020.050048828125,3026.550048828125,2989.14990234375,3012.0,35771,3012.560375116608,2976.915758504389,2894.3262993388844,2789.582998726594,60.92336420668766,38.99063992281148,,,0.36535188265352236
2021-07-27,3019.800048828125,3062.60009765625,2995.0,3030.0,41691,3013.876679427793,2980.814330352001,2899.246838534541,2791.873715643027,61.81359533329597,38.21877290396626,,,0.44109128593170494
2021-07-28,2997.5,3016.60009765625,2954.5,3013.0,48426,3010.899101350012,2982.33120941091,2903.0999036900494,2793.919748323196,62.278455799273175,33.227806620119416,,,0.525547825492423
2021-07-29,2980.199951171875,3009.0,2960.0,3001.10009765625,38686,3005.31743768126,2982.1374586619067,2906.123434963846,2795.7732826798992,60.50799502603675,28.902302507452145,,,0.43562641707237565
2021-07-30,2991.699951171875,3015.0,2960.0,2986.199951171875,36843,3002.8415310431897,2983.006776162813,2909.4793767759256,2797.722801769372,59.773595689231854,25.75940112610883,,,0.4178054074405039
2021-08-02,3017.64990234375,3055.0,2995.0,3000.0,39605,3005.533962188746,2986.156151270171,2913.7213581707424,2799.911131128321,60.243789441084274,26.324054488417524,,,0.5226199218412373
2021-08-03,3022.89990234375,3055.0,3000.800048828125,3037.0,42902,3008.691405853292,2989.49649227686,2918.0028697069392,2802.1299248717582,59.43794433852304,26.813420735751723,,,0.704088858764554
