Date,Close,High,Low,Open,Volume,EMA10,EMA21,EMA50,EMA200,ATR14,ADX14,ROC63,RS_score,Volume_ratio
2021-06-21,1055.3936767578125,1059.9989672196316,1025.6368560599983,1032.1904679543138,372755,1055.3936767578125,1055.3936767578125,1055.3936767578125,1055.3936767578125,34.36211115963329,0.0,,,
2021-06-22,1050.3897705078125,1065.7552577332765,1046.802965833488,1058.3160272174434,593553,1054.4838756214488,1054.9387761896305,1055.1974451401654,1055.3438866458723,32.30746859165397,13.333333333333334,,,
2021-06-23,1034.625732421875,1057.8289369334252,1031.7474669561177,1054.7292664318404,352331,1050.8733041306173,1053.0921358471073,1054.3907113080757,1055.137735857574,31.477335443074445,17.23748130536094,,,
2021-06-24,1007.8800048828124,1036.131199778052,1006.064440422332,1034.6256888410117,447008,1043.0563406310164,1048.9819421230804,1052.5667620364968,1054.6675096787205,31.289258631427174,16.120371983950903,,,
2021-06-25,997.8724975585938,1007.835724181655,996.3226623061176,1004.3817839974082,593801,1034.8410964360303,1044.3356289808544,1050.4218889197164,1054.1023851800128,28.65833649079618,16.809954004473546,,,
2021-06-28,1019.5258178710938,1024.6624577043103,996.6768841111532,1004.2931953644666,1216305,1032.0565003333145,1042.0801916072398,1049.2102782903587,1053.758339734153,28.56863477111098,15.186675760950623,,,
2021-06-29,1026.9652099609375,1037.0613023310946,1014.9207963035308,1027.0537503634598,664622,1031.1308111747003,1040.706102366667,1048.337922669597,1053.4917414279519,27.71155093863802,15.735351531546257,,,
2021-06-30,1006.5072021484376,1032.3672647589742,1005.178772053213,1029.0905137672542,406478,1026.6537913517434,1037.597111437737,1046.6975022570025,1053.0242335744244,27.641809840921105,14.264390892984212,,,
2021-07-01,1007.1713256835938,1017.5330362417038,1003.983115366322,1011.510885221948,394575,1023.1115248666252,1034.8311309146331,1045.1474561168689,1052.5679857347147,25.762891312182543,12.75176118844859,,,
2021-07-02,1010.979736328125,1015.7619987031178,1003.009154892564,1015.7619987031178,250609,1020.9057451323524,1032.6628223158598,1043.807545536918,1052.1541723077835,24.028218311965382,11.224578420240803,,,
2021-07-05,1022.89111328125,1030.8616933847402,1014.52204741575,1017.0902589627676,477735,1021.2667211594247,1031.774485130895,1042.9872932915978,1051.8629975911015,23.47538347791869,12.79492809048257,,,
2021-07-06,1021.2528076171876,1032.1458696377033,1017.1789769076958,1022.8911831287536,540817,1021.2641914244725,1030.8179689932851,1042.1349605200523,1051.5584185863859,22.34091804486387,14.372752675652906,,,
2021-07-07,1031.9688720703125,1035.2899476079772,1018.9059749554984,1021.1200253139416,591766,1023.2104969964435,1030.9225965457422,1041.7362903847684,1051.3634977255294,21.54665865921252,16.30610444572072,,,
2021-07-08,1031.9688720703125,1047.511548829754,1029.3563358905208,1036.1755677513545,791180,1024.8029288280559,1031.0177125025214,1041.3532543724368,1051.1705163757265,21.09446589654862,19.89395957106335,,,
2021-07-09,1041.400634765625,1043.7032252659692,1028.337739073921,1033.5185947266748,325337,1027.8206935439775,1031.96161452644,1041.3551124270716,1051.0733036233873,20.330601935948557,22.64019957729811,,,
2021-07-12,1044.89892578125,1053.4451819601418,1035.9541837729096,1046.8915711443524,296631,1030.925826678027,1033.1377337314225,1041.4940854997844,1051.0118670279433,19.951988102786377,26.39690793431099,,,
