Date,Close,High,Low,Open,Volume,EMA10,EMA21,EMA50,EMA200,ATR14,ADX14,ROC63,RS_score,Volume_ratio
2021-06-18,12323.201171875,12514.9182599541,12086.877060334404,12514.9182599541,6504,12323.201171875,12323.201171875,12323.201171875,12323.201171875,428.0411996196963,0.0,,,
2021-06-21,12264.1435546875,12358.933479865807,12003.006603951182,12358.933479865807,5606,12312.463423295454,12317.832297585228,12320.885186887255,12322.613533893034,418.42595645902014,13.333333333333334,,,
2021-06-22,12449.5888671875,12544.797173027366,12146.121864691286,12273.065667456243,6793,12337.395322184915,12329.81016754907,12325.932390036285,12323.876970045218,415.7925367092948,18.108836498470026,,,
2021-06-23,12607.2451171875,12708.354181380097,12304.103061168003,12304.103061168003,6963,12386.458921276293,12355.031526607108,12336.964261689274,12326.696553598873,414.25368117633457,18.167116697090876,,,
2021-06-24,12928.974609375,13136.443737670646,12606.967653252084,12607.246265647042,12486,12485.098137294239,12407.208170495098,12360.180353755382,12332.689370074257,429.61666827529825,19.319349480255532,,,
2021-06-25,12835.9033203125,13100.3854337217,12732.517250382924,12954.576770403271,6751,12548.880897843013,12446.180456842136,12378.836156365465,12337.696474056727,421.38353695042866,20.317951225664903,,,
2021-06-28,12643.6748046875,12962.149627426355,12569.88699325937,12962.057059143996,2934,12566.116153632918,12464.13448846444,12389.221985711427,12340.741034560517,417.50074991263625,18.442071190814424,,,
2021-06-29,12237.6572265625,12731.587045138494,12175.068364211122,12668.393766374304,9370,12506.396348711023,12443.545646473354,12383.27826966637,12339.715325028199,436.03647404793446,19.574465531488464,,,
2021-06-30,12366.4609375,12441.642723904282,12238.123172325628,12313.397527019102,4305,12480.953546672654,12436.537945657596,12382.61876644416,12339.981450525433,405.09634382044754,20.55587396007263,,,
2021-07-01,12351.4052734375,12499.25859386584,12261.911714505526,12441.641193656198,2717,12457.399315175353,12428.798611819404,12381.39470789488,12340.095120405154,382.7297485590963,20.438196456409724,,,
2021-07-02,12580.76171875,12707.10201201756,12256.431457590572,12351.407434771798,5300,12479.828843098014,12442.613439722185,12389.21302204606,12342.489812926,391.7885226748152,18.158831068903385,,,
2021-07-05,12639.353515625,12731.58782891109,12601.90238402888,12638.65653088984,17023,12508.83332901201,12460.498901167895,12399.022453166803,12345.443680614548,359.66020100631846,16.51172400616412,,,
2021-07-06,12620.90625,12724.1062686828,12546.653784374626,12652.5954576891,4382,12529.210223737098,12475.08138742536,12407.72377853281,12348.18460170296,335.36583877989926,14.413627493912928,,,
2021-07-07,12408.0029296875,12620.909113354786,12338.490488722297,12620.07236852066,2563,12507.172533909898,12468.983345812827,12407.734725636916,12348.779808946589,328.3062102269114,15.41142285214773,,,
2021-07-08,12254.8046875,12499.260299433396,12229.759519743013,12493.684421232903,5062,12461.28747092628,12449.512558693477,12401.73746923939,12347.8447331113,320.46548615537426,17.4602598468207,,,
2021-07-09,12206.248046875,12447.218734249456,12174.000703200529,12313.39765781733,2863,12414.91666655332,12427.397603073614,12394.071217381963,12346.435810860194,314.1658254745147,19.81774067300136,,,
2021-07-12,12239.83984375,12285.51593355058,12180.549865153502,12266.929676465026,5074,12383.084516952715,12410.346897680558,12388.022928219925,12345.375154471038,286.27252453085646,21.860890722357933,,,
2021-07-13,12097.2861328125,12283.705964371651,12066.20043032681,12239.052654605985,5087,12331.121174381766,12381.886828147097,12376.621485262773,12342.906606991848,277.1035924660545,24.90148592236305,,,
2021-07-14,12047.7998046875,12171.49100226804,12020.66368351668,12098.725975701867,6370,12279.608198073718,12351.515280559861,12363.726517397075,12339.970220899268,260.266755970762,28.003012135067998,,,
2021-07-15,12012.6728515625,12113.642172270944,11988.324667580488,12113.642172270944,3287,12231.074498708042,12320.711423378283,12349.95970697219,12336.71353065711,242.27352246672126,31.03135583259741,,,0.5413372859025033
2021-07-16,11995.7119140625,12118.195185446542,11942.415269214873,12053.189559860512,13779,12188.281301499761,12291.166013440483,12336.067636662006,12333.320479745722,233.40770830204772,34.14641334364693,,,2.1410092063862023
2021-07-19,11931.5419921875,12040.73626801182,11918.439042101469,12039.249730247524,15435,12141.60142707935,12258.472920599303,12320.2038858983,12329.322683849621,218.59297731648826,37.10786496197288,,,2.228172999191593
2021-07-20,11938.09375,12030.513195569329,11913.83813782227,12015.086963826256,6673,12104.60003124674,12229.347541453912,12305.219174686603,12325.429858637188,205.00392137389773,39.72939086374182,,,0.9641391666185055
2021-07-22,11929.2197265625,12003.193591052132,11913.886060990775,12003.193591052132,4898,12072.712703122332,12202.063194645601,12290.474098289578,12321.48746926331,189.57773586555888,42.001379978608234,,,0.7183977588571345
2021-07-23,11894.23046875,12004.075443770924,11876.619806388237,12004.075443770924,8829,12040.261387781908,12174.078401382363,12274.93513242528,12317.236155825367,181.294789401176,44.50302341160649,,,1.3306506307365373
2021-07-26,11868.90625,11978.843789227907,11848.739977707975,11978.843789227907,2828,12009.105908185196,12146.335478529421,12259.0124311537,12312.775161737554,174.46932568367674,47.0575534585922,,,0.439202043811491
