Ticker,Sector
360ONE.NS,AMC
AADHARHFC.NS,Financial Services
AAVAS.NS,Financial Services
ABB.NS,Power Equipments
ABBOTINDIA.NS,Healthcare
ABCAPITAL.NS,Financial Services
ABSLAMC.NS,AMC
ACE.NS,Industrials
ACMESOLAR.NS,Power
ACUTAAS.NS,Chemicals
ADANIENSOL.NS,Power Equipments
ADANIENT.NS,Trading
ADANIGREEN.NS,Renewable Energy
ADANIPORTS.NS,Shipping
ADANIPOWER.NS,Power
AETHER.NS,Chemicals
AIAENG.NS,Industrials
AJANTPHARM.NS,Pharma
ALIVUS.NS,Healthcare
ALKEM.NS,Pharma
AMBER.NS,Technology
ANANDRATHI.NS,Financial Services
ANANTRAJ.NS,Real Estate
ANGELONE.NS,Capital Market
ANURAS.NS,Chemicals
APARINDS.NS,Industrials
APLAPOLLO.NS,Capital Goods
APTUS.NS,Housing Finance
ARE&M.NS,Battery
ASHOKLEY.NS,Automobile
ASIANPAINT.NS,Paints
ATGL.NS,Oil & Gas
ATLANTAELE.NS,Industrials
ATUL.NS,Chemicals
AUBANK.NS,Private Bank
AXISBANK.NS,Private Bank
BAJAJ-AUTO.NS,Automobile
BAJAJHFL.NS,Housing Finance
BAJFINANCE.NS,NBFC
BALAMINES.NS,Chemicals
BALRAMCHIN.NS,Sugar
BALUFORGE.NS,Industrials
BANCOINDIA.NS,Auto Ancillary
BANKBARODA.NS,PSU Bank
BATAINDIA.NS,Consumer Discretionary
BCLIND.NS,Distilleries
BEL.NS,Industrials
BEML.NS,Capital Goods
BERGEPAINT.NS,Paints
BHARATFORG.NS,Auto Ancillary
BHARTIARTL.NS,Telecom
BHARTIHEXA.NS,Telecom
BHEL.NS,Industrials
BLS.NS,Industrials
BPCL.NS,Oil & Gas
BRITANNIA.NS,FMCG
BSE.NS,Financial Services
CAMPUS.NS,Consumer Discretionary
CAMS.NS,Financial Services
CANBK.NS,PSU Bank
CANFINHOME.NS,Housing Finance
CAPLIPOINT.NS,Healthcare
CASTROLIND.NS,Auto Ancillary
CDSL.NS,Financial Services
CEATLTD.NS,Tyre
CERA.NS,Consumer Discretionary
CHENNPETRO.NS,Oil & Gas
CHOICEIN.NS,Financial Services
CHOLAFIN.NS,NBFC
COALINDIA.NS,Power
COFORGE.NS,Technology
COLPAL.NS,FMCG
CRISIL.NS,Financial Services
CUMMINSIND.NS,EMS
DABUR.NS,FMCG
DATAPATTNS.NS,Defence
DEEPAKNTR.NS,Chemicals
DIVISLAB.NS,Pharma
DIXON.NS,EMS
DLF.NS,Real Estate
DOMS.NS,Consumer Discretionary
ECLERX.NS,Technology
EICHERMOT.NS,Automobile
ELECON.NS,Infra
EMAMILTD.NS,FMCG
EMCURE.NS,Healthcare
ENGINERSIN.NS,Infra
ESABINDIA.NS,Capital Goods
EXIDEIND.NS,Battery
FEDERALBNK.NS,Private Bank
FINCABLES.NS,Cables
FLUOROCHEM.NS,Chemicals
FORCEMOT.NS,Automobile
GABRIEL.NS,Auto Ancillary
GENUSPOWER.NS,Industrials
GILLETTE.NS,FMCG
GLAXO.NS,Pharma
GLENMARK.NS,Pharma
GLOBUSSPR.NS,Distilleries
GMDCLTD.NS,Mining
GMRAIRPORT.NS,Infra
GODFRYPHLP.NS,FMCG
GPPL.NS,Shipping
GRINDWELL.NS,Industrials
GROWW.NS,Capital Market
GRSE.NS,Shipping
GRWRHITECH.NS,Chemicals
GVT&D.NS,Industrials
HAL.NS,Defence
HAPPYFORGE.NS,Industrials
HAVELLS.NS,Capital Goods
HBLENGINE.NS,Industrials
HCLTECH.NS,Technology
HDFCAMC.NS,AMC
HDFCBANK.NS,Private Bank
HDFCLIFE.NS,Insurance
HEROMOTOCO.NS,Automobile
HGINFRA.NS,Infra
HINDALCO.NS,Metals
HINDCOPPER.NS,Metals
HINDUNILVR.NS,FMCG
HINDZINC.NS,Metals
HSCL.NS,Chemicals
ICICIAMC.NS,AMC
ICICIBANK.NS,Private Bank
ICICIGI.NS,Insurance
IEX.NS,Financial Services
IGL.NS,Gas Distribution
IKS.NS,Technology
IMFA.NS,Metals
INDHOTEL.NS,Hospitality
INDIAGLYCO.NS,Chemicals
INDIAMART.NS,Technology
INDIANB.NS,PSU Bank
INDIGO.NS,Transport
INDIGOPNTS.NS,Paints
INDUSTOWER.NS,Telecom
INFY.NS,Technology
INOXINDIA.NS,Industrials
IOC.NS,Oil & Gas
IRB.NS,Infra
IRCON.NS,Railways
IRCTC.NS,Railways
IREDA.NS,Railways
ITC.NS,FMCG
JBCHEPHARM.NS,Pharma
JBMA.NS,Auto Ancillary
JKPAPER.NS,Paper
JKTYRE.NS,Tyre
JSLL.NS,Healthcare
JSWDULUX.NS,Paints
JSWSTEEL.NS,Metals
JUBLPHARMA.NS,Pharma
JYOTICNC.NS,Industrials
KALYANKJIL.NS,Gems & Jewellery
KANSAINER.NS,Paints
KAYNES.NS,EMS
KEC.NS,Infra
KEI.NS,Cables
KFINTECH.NS,Technology
KIRLOSENG.NS,Capital Goods
KIRLPNU.NS,Industrials
KPIGREEN.NS,Renewable Energy
KPIL.NS,Industrials
KPRMILL.NS,Textile
KRN.NS,Capital Goods
KSB.NS,Capital Goods
LALPATHLAB.NS,Healthcare
LAURUSLABS.NS,Pharma
LGBBROSLTD.NS,Auto Ancillary
LINDEINDIA.NS,Chemicals
LODHA.NS,Real Estate
LOTUSDEV.NS,Real Estate
LT.NS,Infra
LUPIN.NS,Pharma
M&M.NS,Automobile
MAHABANK.NS,PSU Bank
MANINDS.NS,Manufacturing
MANORAMA.NS,FMCG
MARICO.NS,FMCG
MARKSANS.NS,Pharma
MARUTI.NS,Automobile
MAXHEALTH.NS,Healthcare
MAZDOCK.NS,Shipping
MCX.NS,Financial Services
METROBRAND.NS,Consumer Discretionary
METROPOLIS.NS,Healthcare
MGL.NS,Gas Distribution
MINDACORP.NS,Auto Ancillary
MOIL.NS,Mining
MOTHERSON.NS,Auto Ancillary
MOTILALOFS.NS,AMC
MPHASIS.NS,Technology
MRPL.NS,Oil & Gas
MUTHOOTFIN.NS,NBFC
NAM-INDIA.NS,AMC
NATCOPHARM.NS,Pharma
NATIONALUM.NS,Metals
NAVA.NS,Power
NESTLEIND.NS,FMCG
NETWEB.NS,Technology
NH.NS,Healthcare
NHPC.NS,Power
NIACL.NS,Insurance
NMDC.NS,Mining
NTPC.NS,Power
NTPCGREEN.NS,Renewable Energy
NUVAMA.NS,Capital Market
OBEROIRLTY.NS,Real Estate
OFSS.NS,Technology
OLECTRA.NS,Auto Ancillary
ONGC.NS,Oil & Gas
PCBL.NS,Chemicals
PERSISTENT.NS,Technology
PFIZER.NS,Pharma
PFS.NS,Power
PGHH.NS,FMCG
PICCADIL.NS,Distilleries
PIDILITIND.NS,Chemicals
PIIND.NS,Chemicals
PNB.NS,PSU Bank
PNBHOUSING.NS,Housing Finance
POLYCAB.NS,Capital Goods
POONAWALLA.NS,NBFC
POWERINDIA.NS,Power Equipments
PRAJIND.NS,Industrials
PREMIERENE.NS,Utilities
PRICOLLTD.NS,Auto Ancillary
PRIVISCL.NS,Chemicals
PRUDENT.NS,AMC
QPOWER.NS,Industrials
RADICO.NS,Distilleries
RAINBOW.NS,Healthcare
RECLTD.NS,Power
RELIANCE.NS,Oil & Gas
RITES.NS,Railways
RRKABEL.NS,Cables
RUBICON.NS,Healthcare
RVNL.NS,Railways
SANOFICONR.NS,Pharma
SBIN.NS,PSU Bank
SCHAEFFLER.NS,Auto Ancillary
SCHNEIDER.NS,Infra
SCI.NS,Shipping
SHAILY.NS,Industrials
SHREEJISPG.NS,Shipping
SHRIPISTON.NS,Industrials
SHRIRAMFIN.NS,NBFC
SIEMENS.NS,Power Equipments
SJS.NS,Auto Ancillary
SOLARINDS.NS,Defence
SONACOMS.NS,Auto Ancillary
SRF.NS,Chemicals
SUDEEPPHRM.NS,Pharma
SUNPHARMA.NS,Pharma
SUPRIYA.NS,Pharma
SUVEN.NS,Healthcare
SUZLON.NS,Renewable Energy
SYMPHONY.NS,Consumer Cyclical
SYNGENE.NS,Healthcare
SYRMA.NS,Consumer Discretionary
TANLA.NS,Technology
TARIL.NS,Industrials
TATACAP.NS,NBFC
TATACHEM.NS,Chemicals
TATACOMM.NS,Telecom
TATACONSUM.NS,FMCG
TATAELXSI.NS,EMS
TATAPOWER.NS,Power
TATASTEEL.NS,Metals
TCI.NS,Transport
TCS.NS,Technology
TDPOWERSYS.NS,Industrials
TECHM.NS,Technology
TECHNOE.NS,Capital Goods
THERMAX.NS,Capital Goods
THYROCARE.NS,Healthcare
TI.NS,Distilleries
TIPSMUSIC.NS,Communication Services
TITAN.NS,Gems & Jewellery
TMCV.NS,Automobile
TMPV.NS,Automobile
TORNTPHARM.NS,Pharma
TORNTPOWER.NS,Power
TRAVELFOOD.NS,Consumer Cyclical
TRENT.NS,Consumer Discretionary
TRIVENI.NS,Sugar
TVSMOTOR.NS,Automobile
UNIONBANK.NS,PSU Bank
UNITDSPR.NS,FMCG
UNIVCABLES.NS,Cables
UNOMINDA.NS,Auto Ancillary
USHAMART.NS,Capital Goods
VBL.NS,FMCG
VESUVIUS.NS,Capital Goods
VIJAYA.NS,Healthcare
VIKRAMSOLR.NS,Renewable Energy
VINATIORGA.NS,Chemicals
VOLTAMP.NS,Industrials
VOLTAS.NS,Capital Goods
WAAREEENER.NS,Renewable Energy
WAAREERTL.NS,Renewable Energy
WELCORP.NS,Metals
WSTCSTPAPR.NS,Paper
ZENTEC.NS,Technology
ZFCVINDIA.NS,Auto Ancillary
ZYDUSLIFE.NS,Pharma
