Ticker,Sector
BATAINDIA.NS,Consumer Discretionary
TORNTPOWER.NS,Power
JKPAPER.NS,PAPER
PRIVISCL.NS,Chemicals
SHAILY.NS,Industrials
INDHOTEL.NS,Hospitality
ATGL.NS,Oil & Gas
KPIGREEN.NS,renewable energy
RAINBOW.NS,Healthcare
FLUOROCHEM.NS,Chemicals
MOTHERSON.NS,auto ancillary
HEROMOTOCO.NS,Automobile
M&M.NS,Automobile
AIAENG.NS,Industrials
HAPPYFORGE.NS,Industrials
GENUSPOWER.NS,Industrials
GLENMARK.NS,Pharma
METROBRAND.NS,Consumer Discretionary
KPRMILL.NS,Textile
LGBBROSLTD.NS,auto ancillary
ACUTAAS.NS,Chemicals
NTPC.NS,POWER
BEML.NS,Capital Goods
ATUL.NS,Chemicals
ASHOKLEY.NS,Automobile
ACMESOLAR.NS,Power
VBL.NS,FMCG
ANURAS.NS,Chemicals
KEC.NS,Infra
SCHNEIDER.NS,Infra
SBIN.NS,PSU Bank
AAVAS.NS,Financial Services
ABCAPITAL.NS,Financial Services
ADANIPOWER.NS,Power
ICICIGI.NS,Insurance
KEI.NS,Cables
BEL.NS,Industrials
NAM-INDIA.NS,AMC
BSE.NS,Financial Services
COFORGE.NS,Technology
VINATIORGA.NS,Chemicals
EMCURE.NS,Healthcare
KRN.NS,Capital Goods
GRINDWELL.NS,Industrials
VIJAYA.NS,Healthcare
DATAPATTNS.NS,Defence
MUTHOOTFIN.NS,NBFC
ZENTEC.NS,Technology
ANGELONE.NS,CAPITAL MARKET
AUBANK.NS,Private Bank
PFIZER.NS,Pharma
HSCL.NS,Chemicals
INDIAGLYCO.NS,Chemicals
PICCADIL.NS,Distileries
AETHER.NS,Chemicals
SJS.NS,auto ancillary
PNBHOUSING.NS,housing finance
BERGEPAINT.NS,paints
NH.NS,Healthcare
SCHNEIDER.NS,Infra
HINDCOPPER.NS,Metals
BALAMINES.NS,Chemicals
JYOTICNC.NS,Industrials
GRWRHITECH.NS,Chemicals
THYROCARE.NS,Healthcare
GPPL.NS,Shipping
ALIVUS.NS,Healthcare
ENGINERSIN.NS,Infra
SHRIPISTON.NS,Industrials
JBCHEPHARM.NS,Pharma
CAPLIPOINT.NS,Healthcare
RUBICON.NS,Healthcare
DOMS.NS,Consumer Discretionary
INDIAGLYCO.NS,Chemicals
JUBLPHARMA.NS,Pharma
VIKRAMSOLR.NS,renewable energy
UNITDSPR.NS,FMCG
QPOWER.NS,Industrials
TORNTPHARM.NS,Pharma
IKS.NS,Technology
HBLENGINE.NS,Industrials
