Date,Engine,Ticker,EntryPrice,Qty,Target,StopLoss,HoldDays,CMP,PnL,Status,ExitDate,ExitPrice,Days_Held,Flag,Action,Notes
04-04-2026,E3,ABB,6080,2,6402.24,5897.6,5,6550,940,CLOSED,08-04-2026,6550,3,CLOSED,,
27-03-2026,E3,MRPL,180,75,189.54,174.6,5,178,-150,CLOSED,07-04-2026,178,7,CLOSED,,
01-04-2026,E1,SHRIRAMFIN,893,25,940.33,866.21,3,925,800,CLOSED,07-04-2026,925,4,CLOSED,,
26-03-2026,E4,SBIN,1043,10,1102.45,1001.28,14,1070,-230,CLOSED,13-04-2026,1020,,,,
01-04-2026,E3,CUMMINSIND,4525,2,4764.82,4389.25,5,4840,620,CLOSED,09-04-2026,4835,,,,
26-03-2026,E4,TORNTPHARM,4295,6,4539.81,4123.2,14,4155,-1770,CLOSED,16-04-2026,4000,,,,
25-03-2026,E3,COALINDIA,456,16,480.17,442.32,5,459,48,CLOSED,08-04-2026,459,10,CLOSED,,
16-03-2026,E1,ASHOKLEY,172.5,95,181.64,167.32,3,168,-427.5,CLOSED,22-03-2026,168,4,CLOSED,,
16-03-2026,E3,ONGC,262.5,50,276.41,254.62,5,270,375,CLOSED,23-03-2026,270,5,CLOSED,,
16-03-2026,E1,EMCURE,1455,12,1532.12,1411.35,3,1535,960,CLOSED,18-03-2026,1535,2,CLOSED,,
18-03-2026,E3,HINDALCO,932,14,981.4,904.04,5,902,-420,CLOSED,30-03-2026,902,8,CLOSED,,
24-03-2026,E1,KIRLOSENG,1292,13,1360.48,1253.24,3,1325,429,CLOSED,24-03-2026,1325,0,CLOSED,,
16-03-2026,E3,MCX,2515,5,2648.29,2439.55,5,2636,605,CLOSED,17-03-2026,2636,1,CLOSED,,
16-03-2026,E3,BSE,2824,5,2973.67,2739.28,5,2959,675,CLOSED,17-03-2026,2959,1,CLOSED,,
01-04-2026,E3,POWERINDIA,24295,1,25582.63,23566.15,5,25100,805,CLOSED,02-04-2026,25100,1,CLOSED,,
