Date,Engine,Ticker,Entry,SL,Target,Qty,Capital,SignalType
2026-06-16,E1,BALAMINES.NS,2076.5,2014.2,2186.55,21,43606.0,BUY
2026-06-16,E1,WELCORP.NS,1373.8,1332.59,1446.61,32,43962.0,BUY
2026-06-16,E1,SUPRIYA.NS,946.9,918.49,997.09,47,44504.0,BUY
2026-06-16,E1,MARKSANS.NS,247.13,239.72,260.23,182,44978.0,BUY
2026-06-16,E1,TDPOWERSYS.NS,1169.5,1134.41,1231.48,38,44441.0,BUY
2026-06-16,E1,ATGL.NS,713.7,692.29,751.53,63,44963.0,BUY
2026-06-16,E1,KRN.NS,1218.3,1181.75,1282.87,36,43859.0,BUY
2026-06-16,E3,WELCORP.NS,1373.8,1332.59,,,,BUY
2026-06-16,E3,SOLARINDS.NS,16899.0,16392.03,,,,BUY
2026-06-16,E3,MARKSANS.NS,247.13,239.72,,,,BUY
2026-06-16,E5,APARINDS.NS,16168.0,14227.84,,,,BUY
2026-06-16,E5,INOXINDIA.NS,1839.6,1618.85,,,,BUY
2026-06-16,E5,SUPRIYA.NS,946.9,833.27,,,,BUY
2026-06-16,E5,SUDEEPPHRM.NS,825.85,726.75,,,,BUY
2026-06-16,E6,BALAMINES.NS,2076.5,2014.2,,,,BUY
2026-06-16,E6,RUBICON.NS,1351.6,1311.05,,,,BUY
2026-06-16,E6,GRWRHITECH.NS,6380.5,6189.09,,,,BUY
2026-06-16,E6,SUPRIYA.NS,946.9,918.49,,,,BUY
2026-06-16,E6,KIRLPNU.NS,1646.2,1596.81,,,,BUY
2026-06-16,G1,NETWEB.NS,4884.4,4664.6,5177.46,3,14653.2,BUY
2026-06-16,G1,CHOLAFIN.NS,1680.4,1604.78,1781.22,9,15123.6,BUY
2026-06-16,G1,TMCV.NS,406.7,388.4,431.1,40,16268.0,BUY
2026-06-16,G1,ASHOKLEY.NS,158.5,151.37,168.01,105,16642.5,BUY
2026-06-16,G1,MOTILALOFS.NS,944.25,901.76,1000.91,17,16052.25,BUY
2026-06-16,G1,SHRIRAMFIN.NS,1005.75,960.49,1066.1,16,16092.0,BUY
2026-06-16,S1,RRKABEL.NS,2201.1,2067.21,2379.62,9.0,19810.0,BUY
2026-06-16,S1,MGL.NS,1185.6,1130.29,1259.34,16.0,18970.0,BUY
