combination,horizon_days,count,avg_forward_return,median_forward_return,win_rate,spearman_ic_vs_fwd
Strong Leadership + Weak Trend,1,84,0.0024188071581297014,0.002624960599615589,0.6547619047619048,-0.05189834970132631
High Trend + High Participation,1,487,0.0019656678964956775,0.002727310548129802,0.6509240246406571,0.19479155887522046
Weak Trend + Strong Participation,1,442,0.0007189290526990109,0.0016470257743793626,0.581447963800905,0.1790477607955841
High Trend + Weak Participation,1,442,0.00033517105191972855,0.0017044097139160552,0.5882352941176471,-0.07669155524685999
Low Trend + Low Participation,1,403,-0.0006228110209015052,-0.00012434771150615642,0.49627791563275436,-0.022834321134420764
High Trend + High Participation,3,487,0.004480338643891496,0.005795874873090412,0.6817248459958932,0.17293810287885758
Strong Leadership + Weak Trend,3,84,0.003232248416229307,0.004491343510436563,0.5595238095238095,-0.18544092335729473
Weak Trend + Strong Participation,3,442,0.002413162923104073,0.003117687285371318,0.5701357466063348,0.16498538988437883
High Trend + Weak Participation,3,442,0.002199694111033148,0.0037509830086919216,0.5995475113122172,-0.11166050028276633
Low Trend + Low Participation,3,403,-0.0004083837107967242,0.0008786238909763711,0.5260545905707196,-0.0656391164096966
High Trend + High Participation,5,487,0.006567568819901593,0.008318630021850959,0.6817248459958932,0.17844455748260687
High Trend + Weak Participation,5,442,0.004567196876807809,0.0055879513590331165,0.6221719457013575,-0.11128125499201244
Strong Leadership + Weak Trend,5,84,0.0038228594438096094,0.0018561846356220935,0.5476190476190477,-0.06975802369140427
Weak Trend + Strong Participation,5,442,0.003683893230431199,0.004424206339508352,0.581447963800905,0.16833314329378218
Low Trend + Low Participation,5,403,0.00015960402058915168,0.0010208395257176317,0.5161290322580645,-0.058512684348691155
High Trend + High Participation,10,487,0.01217835992109625,0.015412456771690008,0.7371663244353183,0.08895604685598066
High Trend + Weak Participation,10,442,0.010195826549223573,0.012206798674812336,0.6809954751131222,-0.0391559992637444
Weak Trend + Strong Participation,10,442,0.0067847323210476354,0.004458186572190104,0.5701357466063348,0.14412036736903477
Strong Leadership + Weak Trend,10,84,0.0025724699887368706,0.001810506034932713,0.5595238095238095,-0.17246127366609296
Low Trend + Low Participation,10,403,0.0020794085365515827,0.002908090720197931,0.5459057071960298,-0.0713624101197572
High Trend + High Participation,20,487,0.02185266974053771,0.03053709708501562,0.7638603696098563,0.04755675492370548
High Trend + Weak Participation,20,442,0.02006937730600544,0.02657792653251978,0.7398190045248869,-0.002062363406901222
Weak Trend + Strong Participation,20,442,0.012687900900506846,0.008483715928042534,0.5882352941176471,0.11283381211487895
Strong Leadership + Weak Trend,20,84,0.011368539989230594,0.007024730891938558,0.6071428571428571,-0.3283183152779184
Low Trend + Low Participation,20,403,0.006058381724395771,0.006878277312519554,0.5607940446650124,-0.030711550470627964
