factor,horizon,quintile,count,avg_forward_return,median_forward_return,win_rate,monotonicity
trend_regime,1,1,378,0.0003070690939243729,0.0011876286026487604,0.5661375661375662,0.5
trend_regime,1,2,377,0.00018556857904401266,0.0004926142464867223,0.5251989389920424,0.5
trend_regime,1,3,378,0.0009649780777258736,0.0018770399044879538,0.5952380952380952,0.5
trend_regime,1,4,377,0.0015656925650906533,0.0019797151916653988,0.6153846153846154,0.5
trend_regime,1,5,378,0.0008574634404379807,0.0020623498442959853,0.626984126984127,0.5
trend_regime,3,1,378,0.0017412010576966655,0.003779973588681873,0.5714285714285714,0.5
trend_regime,3,2,377,0.000957573067708506,0.0012929208756504718,0.5384615384615384,0.5
trend_regime,3,3,377,0.0024376870289472205,0.002685367411509043,0.5809018567639257,0.5
trend_regime,3,4,377,0.003861633664821275,0.00432326963281815,0.6392572944297082,0.5
trend_regime,3,5,377,0.002682451509703718,0.0050896914481384226,0.649867374005305,0.5
trend_regime,5,1,377,0.0035664138608036368,0.0056585466351488645,0.5888594164456233,0.5
trend_regime,5,2,377,0.0009415504113167862,0.001674088679923802,0.5411140583554377,0.5
trend_regime,5,3,376,0.0038260035915859566,0.0018880574584309029,0.5345744680851063,0.5
trend_regime,5,4,377,0.006784462684204654,0.008510135326425416,0.6949602122015915,0.5
trend_regime,5,5,377,0.004279215263352896,0.00615763708821726,0.6445623342175066,0.5
trend_regime,10,1,376,0.008401299069766338,0.010658250038760086,0.6170212765957447,0.5
trend_regime,10,2,376,0.0012066008016047146,0.0005969240736976023,0.5186170212765957,0.5
trend_regime,10,3,375,0.004901497480248063,0.005237561048131001,0.5813333333333334,0.5
trend_regime,10,4,376,0.01297115110632145,0.014916683235685735,0.7127659574468085,0.5
trend_regime,10,5,376,0.011049798491199843,0.014703021786645176,0.7393617021276596,0.5
trend_regime,20,1,374,0.0231421665290937,0.02411404275434026,0.6711229946524064,0.75
trend_regime,20,2,374,0.000308890040766394,0.0031866164857137225,0.5294117647058824,0.75
trend_regime,20,3,373,0.006680052898101699,0.006616607174345868,0.5549597855227882,0.75
trend_regime,20,4,374,0.021126124400449347,0.02756713833860558,0.7299465240641712,0.75
trend_regime,20,5,374,0.025662511458012422,0.030658011381851424,0.839572192513369,0.75
relative_leadership,1,1,414,-0.0009965540565018845,-0.00021392023335325971,0.48792270531400966,0.75
relative_leadership,1,2,413,5.1268038079986766e-05,0.0006304717544947103,0.5326876513317191,0.75
relative_leadership,1,3,413,0.0011694730850815328,0.0017150369677265687,0.5883777239709443,0.75
relative_leadership,1,4,413,0.0011202738424980318,0.0018471046906283206,0.6174334140435835,0.75
relative_leadership,1,5,414,0.0018407257253076703,0.002773936387575282,0.6521739130434783,0.75
relative_leadership,3,1,413,8.77708683601549e-05,0.0015731925386768264,0.5399515738498789,1.0
relative_leadership,3,2,413,0.00026283704620556106,0.001062623273322183,0.5399515738498789,1.0
relative_leadership,3,3,413,0.0021989440652433563,0.003064345599642637,0.5714285714285714,1.0
relative_leadership,3,4,413,0.0033970361840598836,0.004365782337161672,0.6440677966101694,1.0
relative_leadership,3,5,413,0.003679762793490895,0.004996084589784733,0.6440677966101694,1.0
relative_leadership,5,1,413,0.0008626042274211104,0.005034844847606745,0.5641646489104116,0.75
relative_leadership,5,2,412,0.0026630210917001278,0.0017803716098833133,0.5364077669902912,0.75
relative_leadership,5,3,413,0.0015983306084779761,0.0018934563426760143,0.5375302663438256,0.75
relative_leadership,5,4,412,0.0054170667573920726,0.005464532958856294,0.633495145631068,0.75
relative_leadership,5,5,413,0.005625316077493341,0.007394550948848444,0.6779661016949152,0.75
relative_leadership,10,1,412,0.003811500507188894,0.005544117445869801,0.5655339805825242,1.0
relative_leadership,10,2,411,0.003861511810303368,0.001823852313627583,0.5401459854014599,1.0
relative_leadership,10,3,412,0.004458683801046056,0.004171837044960491,0.5606796116504854,1.0
relative_leadership,10,4,411,0.009068500481514656,0.01310955818921733,0.683698296836983,1.0
relative_leadership,10,5,412,0.011585393665547651,0.014203836664455904,0.7330097087378641,1.0
relative_leadership,20,1,410,0.01354491971678128,0.01651303596493159,0.6195121951219512,0.75
relative_leadership,20,2,409,0.00461530295199365,0.005017271790464406,0.5403422982885085,0.75
relative_leadership,20,3,410,0.006919219712728256,0.006795566734844938,0.573170731707317,0.75
relative_leadership,20,4,409,0.016884958318332723,0.019184281356157795,0.6919315403422983,0.75
relative_leadership,20,5,410,0.0246431401718663,0.03132165075905324,0.8073170731707318,0.75
participation_impulse,1,1,411,0.0003720890699779059,0.0011537841377593505,0.5523114355231143,0.75
participation_impulse,1,2,410,-0.0006804714525867432,0.00013655617712304835,0.5073170731707317,0.75
participation_impulse,1,3,410,-5.063006467873204e-05,0.0009733137487633048,0.5463414634146342,0.75
participation_impulse,1,4,410,0.0010257169267432538,0.0015097409068497436,0.5829268292682926,0.75
participation_impulse,1,5,411,0.0022929287283887756,0.0035899468605551377,0.6861313868613139,0.75
participation_impulse,3,1,411,0.0010989215783915682,0.0033683844784071493,0.5815085158150851,0.5
participation_impulse,3,2,410,0.0008214371749872225,0.001812026125652455,0.5560975609756098,0.5
participation_impulse,3,3,410,-0.00014768056850832784,0.00042123759681289563,0.5048780487804878,0.5
participation_impulse,3,4,410,0.0024765320703301844,0.003724762587078434,0.5902439024390244,0.5
participation_impulse,3,5,411,0.0051551985731580555,0.006232046812456815,0.7031630170316302,0.5
participation_impulse,5,1,411,0.002420945612935331,0.003264244350597467,0.5669099756690997,0.5
participation_impulse,5,2,410,0.0020758144736027014,0.003433575053268356,0.5634146341463414,0.5
participation_impulse,5,3,410,0.0002714015202339831,0.0017984541617377392,0.5439024390243903,0.5
participation_impulse,5,4,410,0.0031344089290020576,0.004533471891105423,0.5902439024390244,0.5
participation_impulse,5,5,411,0.00783109812856493,0.010063632680530787,0.6763990267639902,0.5
participation_impulse,10,1,411,0.005021822541518652,0.007292043466877729,0.6155717761557178,0.75
participation_impulse,10,2,410,0.006086195151450646,0.0077481029559284265,0.6048780487804878,0.75
participation_impulse,10,3,410,0.004146899265044583,0.0035975416939911797,0.5682926829268292,0.75
participation_impulse,10,4,410,0.00603287084925877,0.006601809216029042,0.6,0.75
participation_impulse,10,5,411,0.010759588964844826,0.014694181742361812,0.681265206812652,0.75
participation_impulse,20,1,411,0.011925539091176357,0.016023239999500172,0.6301703163017032,0.5
participation_impulse,20,2,410,0.011410578647915528,0.01697211210809446,0.6317073170731707,0.5
participation_impulse,20,3,410,0.009132473856496365,0.012638217658457518,0.6121951219512195,0.5
participation_impulse,20,4,410,0.013748393062915197,0.01837323793001988,0.651219512195122,0.5
participation_impulse,20,5,411,0.018076601753084873,0.021592475611953876,0.683698296836983,0.5
