combination,sample_count,avg_return_1d,standard_error_1d,ci95_low_1d,ci95_high_1d,win_rate_1d,avg_return_5d,standard_error_5d,ci95_low_5d,ci95_high_5d,win_rate_5d,avg_return_10d,standard_error_10d,ci95_low_10d,ci95_high_10d,win_rate_10d,avg_return_20d,standard_error_20d,ci95_low_20d,ci95_high_20d,win_rate_20d,reliability_score,reliability_adjusted_rank_score
HIGH Trend + HIGH Leadership + HIGH Participation,102,0.0026761148696014367,0.0006148560527774614,0.0014564058553518781,0.0038958238838509955,0.7058823529411765,0.008862989277414864,0.001397902685869103,0.006089926380341413,0.011636052174488314,0.7450980392156863,0.015500738654624069,0.001884377484638436,0.011762640617075302,0.019238836692172835,0.8431372549019608,0.029268413828728565,0.002618509930945236,0.02407399449716536,0.03446283316029177,0.8627450980392157,96.74829180971172,0.011380153868735688
HIGH Trend + LOW Leadership + LOW Participation,7,0.004230516127146972,0.002239679347499484,-0.0012497818110141683,0.009710814065308111,0.7142857142857143,0.01946235331503386,0.005643898986840042,0.005652229997469824,0.03327247663259789,0.8571428571428571,0.037961569628318766,0.007691016831241696,0.01914232939659796,0.05678080986003957,1.0,0.039738568154368645,0.008889837639854863,0.017985919078653077,0.061491217230084216,1.0,58.17470545261854,0.011135993743240875
MEDIUM Trend + LOW Leadership + HIGH Participation,7,0.007570098927773186,0.0026093402436943134,0.0011852733618080442,0.013954924493738328,0.8571428571428571,0.01855239080983236,0.006782098714217301,0.001957193090378926,0.03514758852928579,0.8571428571428571,0.03391051406168546,0.007345497403060701,0.015936729413581565,0.05188429870978935,1.0,0.04246893774896505,0.009607066555621033,0.018961292739277373,0.06597658275865273,1.0,57.887355041506574,0.009225351137644168
HIGH Trend + MEDIUM Leadership + MEDIUM Participation,128,0.0002538179702503389,0.0007093681880474691,-0.0011498936575547606,0.001657529598055438,0.5546875,0.003198709015334283,0.0014328026443596736,0.0003634511533014552,0.006033966877367111,0.6484375,0.012003945194180514,0.0016793708620131801,0.008680773326418062,0.015327117061942966,0.7421875,0.022701338108300457,0.0028817785572147485,0.016998818404596105,0.028403857812004808,0.765625,96.31806167061453,0.008361152606025605
MEDIUM Trend + HIGH Leadership + HIGH Participation,44,0.0032920129569695244,0.0013577903871132874,0.0005537676750916303,0.0060302582388474186,0.75,0.011722318425256905,0.002928925016767538,0.005815578191818587,0.017629058658695223,0.7272727272727273,0.018042048223836683,0.004437476772579387,0.009093023432321174,0.026991073015352193,0.7727272727272727,0.02557145020636311,0.0067312636244782455,0.011996563363931824,0.039146337048794395,0.7272727272727273,77.24422316332458,0.007023835312355564
LOW Trend + MEDIUM Leadership + HIGH Participation,88,0.0028064232857303232,0.0009560469630067449,0.0009061764244700371,0.004706670146990609,0.6363636363636364,0.010072971509955266,0.002588888383763921,0.004927275518276352,0.01521866750163418,0.6590909090909091,0.014969248280952564,0.003961730401606077,0.007094880125297132,0.022843616436607997,0.6477272727272727,0.025004321479832167,0.005028078869040282,0.015010470279244695,0.03499817268041964,0.7159090909090909,90.62598709045795,0.006429805146435246
HIGH Trend + MEDIUM Leadership + HIGH Participation,45,0.0013920877243321873,0.0016069465022958088,-0.0018465001502606065,0.0046306755989249816,0.6666666666666666,0.008074473292431616,0.002338188307357738,0.0033621643948392827,0.012786782190023948,0.6888888888888889,0.014787143286245448,0.0033563413766406224,0.008022881706999996,0.0215514048654909,0.7333333333333333,0.026358121623173872,0.004532843468911463,0.01722277587590052,0.03549346737044722,0.7777777777777778,77.99135579306451,0.006257154216963054
HIGH Trend + HIGH Leadership + MEDIUM Participation,190,0.0008856440358405241,0.00047705734890767686,-5.539694306309277e-05,0.001826685014744141,0.631578947368421,0.0023726803025533242,0.0013156683595853583,-0.00022260062929188628,0.004967961234398535,0.6157894736842106,0.009341603071629711,0.0016815108463810653,0.006024663050605703,0.01265854309265372,0.7105263157894737,0.023178750578108632,0.002363071759723522,0.018517366853318618,0.027840134302898646,0.8157894736842105,95.42367739582107,0.005748955033595219
HIGH Trend + HIGH Leadership + LOW Participation,60,0.0018996960699355497,0.0007525068198516457,0.00039393340143250655,0.003405458738438593,0.6833333333333333,0.007606450142687111,0.0017908463441926497,0.0040229748850913495,0.011189925400282873,0.7333333333333333,0.011690145223753397,0.002676013533101989,0.006335454512314664,0.01704483593519213,0.7333333333333333,0.02740375333368811,0.00404320039587166,0.01931332802886427,0.03549417863851195,0.8833333333333333,83.14167260768082,0.005267402848837199
HIGH Trend + MEDIUM Leadership + LOW Participation,80,-0.0003965454595404808,0.0009610829227993076,-0.002309533165274949,0.0015164422461939873,0.575,0.0032820920467082583,0.002068641889092331,-0.0008354366363264223,0.007399620729742939,0.6,0.00890137110076357,0.0024746546521696405,0.003975694228105543,0.013827047973421595,0.65,0.01720990174771291,0.0034623994657167977,0.010318168003276224,0.024101635492149595,0.7125,88.19538631668561,0.003506378883247856
