combination,sample_count,return_1d,return_5d,return_10d,return_20d,win_rate_1d,win_rate_5d,win_rate_10d,win_rate_20d,volatility_1d,downside_volatility_1d,avg_drawdown_20d,tail_loss_5pct_10d,persistence,cluster,outcome_state
HIGH Trend + HIGH Leadership + HIGH Participation,102,0.0026761148696014367,0.008862989277414864,0.015500738654624069,0.029268413828728565,0.7058823529411765,0.7450980392156863,0.8431372549019608,0.8627450980392157,0.006209741741407785,0.005135032833441572,-0.025627886429501187,-0.023605945124688766,0.22549019607843138,1,Constructive
HIGH Trend + HIGH Leadership + LOW Participation,60,0.0018996960699355497,0.007606450142687111,0.011690145223753397,0.02740375333368811,0.6833333333333333,0.7333333333333333,0.7333333333333333,0.8833333333333333,0.005828892762385857,0.0041617909325109064,-0.024379988842358643,-0.027635072504223705,0.13333333333333333,1,Constructive
HIGH Trend + HIGH Leadership + MEDIUM Participation,190,0.0008856440358405241,0.0023726803025533242,0.009341603071629711,0.023178750578108632,0.631578947368421,0.6157894736842106,0.7105263157894737,0.8157894736842105,0.006575781754886332,0.006311748766115066,-0.02647355560816114,-0.036105724302648065,0.5052631578947369,1,Constructive
HIGH Trend + MEDIUM Leadership + HIGH Participation,45,0.0013920877243321873,0.008074473292431616,0.014787143286245448,0.026358121623173872,0.6666666666666666,0.6888888888888889,0.7333333333333333,0.7777777777777778,0.010779724846016851,0.014536738183014573,-0.032314919277855195,-0.02139932795656012,0.15555555555555556,1,Constructive
HIGH Trend + MEDIUM Leadership + LOW Participation,80,-0.0003965454595404808,0.0032820920467082583,0.00890137110076357,0.01720990174771291,0.575,0.6,0.65,0.7125,0.008596186989573738,0.007256266695756901,-0.03235661824966123,-0.029842497956933414,0.1625,1,Constructive
HIGH Trend + MEDIUM Leadership + MEDIUM Participation,128,0.0002538179702503389,0.003198709015334283,0.012003945194180514,0.022701338108300457,0.5546875,0.6484375,0.7421875,0.765625,0.008025584898022072,0.006705752855717296,-0.0284517893898335,-0.017815330644507358,0.34375,1,Constructive
LOW Trend + LOW Leadership + HIGH Participation,59,-0.00020097554617351757,0.004354415148559933,0.008629003243308979,0.016399450306236005,0.6440677966101694,0.6101694915254238,0.6440677966101694,0.6271186440677966,0.020584963179632865,0.02472506763853975,-0.05179275875765136,-0.07051719525957134,0.0847457627118644,0,Capital Protection
LOW Trend + LOW Leadership + LOW Participation,106,-0.00018674628928263106,-0.0035470282224326364,0.0004992141118324769,0.010559543636029076,0.5188679245283019,0.5094339622641509,0.5566037735849056,0.5849056603773585,0.015761431970710855,0.012520826356988696,-0.05098391762714396,-0.0635292737986953,0.18867924528301888,0,Capital Protection
LOW Trend + LOW Leadership + MEDIUM Participation,190,-0.0008963776432035174,0.002598811918336227,0.004315223726836793,0.012881833858941141,0.4789473684210526,0.5789473684210527,0.5473684210526316,0.5947368421052631,0.012928253132740047,0.00930749337136455,-0.04626142300654482,-0.05622738700587026,0.46842105263157896,2,Caution
LOW Trend + MEDIUM Leadership + HIGH Participation,88,0.0028064232857303232,0.010072971509955266,0.014969248280952564,0.025004321479832167,0.6363636363636364,0.6590909090909091,0.6477272727272727,0.7159090909090909,0.008968515484836327,0.005851119721267511,-0.036419050263589804,-0.04379059492297403,0.2840909090909091,1,Constructive
LOW Trend + MEDIUM Leadership + LOW Participation,55,0.0020914862166172836,0.005363445168479715,0.007661761560126815,0.016385500695711153,0.509090909090909,0.5818181818181818,0.6363636363636364,0.6545454545454545,0.010928489064375426,0.005072333846212114,-0.0407049465147646,-0.06206854518599291,0.23636363636363636,2,Caution
LOW Trend + MEDIUM Leadership + MEDIUM Participation,92,-0.00011559480785251972,0.0031389877643069474,0.005682438542900686,0.012435962827761568,0.5434782608695652,0.5543478260869565,0.5543478260869565,0.6413043478260869,0.006944924034213025,0.005431359085839997,-0.03812683219519331,-0.04046904009102553,0.31521739130434784,2,Caution
MEDIUM Trend + HIGH Leadership + HIGH Participation,44,0.0032920129569695244,0.011722318425256905,0.018042048223836683,0.02557145020636311,0.75,0.7272727272727273,0.7727272727272727,0.7272727272727273,0.009006562516012367,0.008421388536585668,-0.03094851209099886,-0.02880699723536892,0.2727272727272727,1,Constructive
MEDIUM Trend + HIGH Leadership + MEDIUM Participation,31,5.861790420885864e-06,0.0016657059640588004,0.013966011898546685,0.025952203733479333,0.45161290322580644,0.5806451612903226,0.7419354838709677,0.7741935483870968,0.00881739500215339,0.006479916525480644,-0.02769216487016811,-0.0299465384949656,0.3548387096774194,1,Constructive
MEDIUM Trend + LOW Leadership + LOW Participation,50,-0.0010164058648673999,0.004821369835439622,0.0074995621358317326,0.0011338459569916652,0.54,0.58,0.68,0.54,0.010874219332041489,0.0077960135610433065,-0.04951732802811168,-0.05722675062124952,0.12,2,Caution
MEDIUM Trend + LOW Leadership + MEDIUM Participation,45,-0.0033666962718386286,0.007244539050847385,0.013466169798079422,0.0062459599965631295,0.35555555555555557,0.6222222222222222,0.6666666666666666,0.7333333333333333,0.01195210293143539,0.008738269904526426,-0.04648807180294674,-0.04794439126476938,0.24444444444444444,2,Caution
MEDIUM Trend + MEDIUM Leadership + HIGH Participation,112,0.0018682978830966627,0.005048216850742748,0.002669541987136955,0.0011574091442655124,0.6517857142857143,0.625,0.5357142857142857,0.5089285714285714,0.006824427917075413,0.004742420119898693,-0.041375396061425866,-0.05041073235397896,0.20535714285714285,2,Caution
MEDIUM Trend + MEDIUM Leadership + LOW Participation,85,0.0002613831567710779,0.0008082477959466888,3.941996348796524e-05,0.004929196927575508,0.5529411764705883,0.4823529411764706,0.5294117647058824,0.47058823529411764,0.006777218718183083,0.0048722715866498685,-0.03825803792670165,-0.03916977738510022,0.12941176470588237,2,Caution
MEDIUM Trend + MEDIUM Leadership + MEDIUM Participation,243,0.0010741285844867853,0.0006678985278602428,0.002383692564535008,0.0046143092949128516,0.5967078189300411,0.49382716049382713,0.522633744855967,0.5185185185185185,0.007125113360008439,0.004482441019722495,-0.036962264103045,-0.04314610220770101,0.42386831275720166,2,Caution
