combination,sample_count,frequency_pct,win_rate_1d,win_rate_5d,win_rate_10d,win_rate_20d,avg_return_1d,avg_return_5d,avg_return_10d,avg_return_20d,median_return_1d,median_return_5d,median_return_10d,median_return_20d,avg_max_drawdown_20d,trend_level,leadership_level,participation_level,trend_regime,relative_leadership,participation_impulse,cluster,state_name
HIGH Trend + LOW Leadership + LOW Participation,7,0.3767491926803014,0.7142857142857143,0.8571428571428571,1.0,1.0,0.004230516127146972,0.01946235331503386,0.037961569628318766,0.039738568154368645,0.0068033153850053,0.0207462634095227,0.0396549115782658,0.0489392344865393,-0.028749999853068666,HIGH,LOW,LOW,0.09713634553936949,0.09401659038697659,-0.523893916525277,2,City
MEDIUM Trend + LOW Leadership + HIGH Participation,7,0.3767491926803014,0.8571428571428571,0.8571428571428571,1.0,1.0,0.007570098927773186,0.01855239080983236,0.03391051406168546,0.04246893774896505,0.0088591779882407,0.0183100963600881,0.0334409052045958,0.0495886901518971,-0.02874082457358342,MEDIUM,LOW,HIGH,0.0396730382347006,0.10256137559297772,0.9108112184366377,2,City
MEDIUM Trend + HIGH Leadership + HIGH Participation,44,2.3681377825618943,0.75,0.7272727272727273,0.7727272727272727,0.7272727272727273,0.0032920129569695244,0.011722318425256905,0.018042048223836683,0.02557145020636311,0.0052712729106895,0.01358971788088445,0.024626276988875602,0.0392213576344915,-0.03094851209099886,MEDIUM,HIGH,HIGH,0.05651621043665504,0.3885233434059087,0.8722890197041182,0,Fog
HIGH Trend + HIGH Leadership + HIGH Participation,102,5.489773950484392,0.7058823529411765,0.7450980392156863,0.8431372549019608,0.8627450980392157,0.0026761148696014367,0.008862989277414864,0.015500738654624069,0.029268413828728565,0.00358666580637275,0.01135166460961995,0.0179459002233832,0.032462799724435804,-0.025627886429501187,HIGH,HIGH,HIGH,0.11967015886469995,0.41150564680647533,0.6437737161905522,0,Fog
LOW Trend + MEDIUM Leadership + HIGH Participation,88,4.736275565123789,0.6363636363636364,0.6590909090909091,0.6477272727272727,0.7159090909090909,0.0028064232857303232,0.010072971509955266,0.014969248280952564,0.025004321479832167,0.0018072471454703498,0.0102110559769631,0.01964629205793415,0.0184493787231124,-0.036419050263589804,LOW,MEDIUM,HIGH,-0.04024264892928375,0.23938134035733463,0.985604683395001,1,Mixed Terrain
HIGH Trend + MEDIUM Leadership + HIGH Participation,45,2.4219590958019377,0.6666666666666666,0.6888888888888889,0.7333333333333333,0.7777777777777778,0.0013920877243321873,0.008074473292431616,0.014787143286245448,0.026358121623173872,0.0029047872698595,0.0093860432712584,0.0185771056087702,0.0320436806590118,-0.032314919277855195,HIGH,MEDIUM,HIGH,0.10797346775997885,0.3120670017990355,0.5083975883206587,0,Fog
MEDIUM Trend + HIGH Leadership + MEDIUM Participation,31,1.6684607104413347,0.45161290322580644,0.5806451612903226,0.7419354838709677,0.7741935483870968,5.861790420885864e-06,0.0016657059640588004,0.013966011898546685,0.025952203733479333,-0.0003145133839477,0.0033136877965003,0.0145758920619454,0.0366574313805405,-0.02769216487016811,MEDIUM,HIGH,MEDIUM,0.056551198944801866,0.4011579064176626,0.022140977087336245,0,Fog
MEDIUM Trend + LOW Leadership + MEDIUM Participation,45,2.4219590958019377,0.35555555555555557,0.6222222222222222,0.6666666666666666,0.7333333333333333,-0.0033666962718386286,0.007244539050847385,0.013466169798079422,0.0062459599965631295,-0.0027899446207935,0.0122063567468684,0.0180047788499817,0.0209532795364546,-0.04648807180294674,MEDIUM,LOW,MEDIUM,0.03980768322406792,0.08088454119890878,-0.12314287201134409,1,Mixed Terrain
MEDIUM Trend + HIGH Leadership + LOW Participation,15,0.8073196986006458,0.6,0.7333333333333333,0.7333333333333333,0.9333333333333333,0.0007019338132505001,0.011268947022152025,0.012223327727457954,0.03315867630512491,0.0017994603113102,0.0116024520343465,0.01726185491091,0.039236000853899,-0.02813414989277605,MEDIUM,HIGH,LOW,0.053029543962347304,0.3945312592237627,-1.250067792360554,0,Fog
HIGH Trend + MEDIUM Leadership + MEDIUM Participation,128,6.8891280947255105,0.5546875,0.6484375,0.7421875,0.765625,0.0002538179702503389,0.003198709015334283,0.012003945194180514,0.022701338108300457,0.00150395124409915,0.0046221423208824,0.0141011585967303,0.02607952297698405,-0.0284517893898335,HIGH,MEDIUM,MEDIUM,0.1081353361551053,0.2977729091958034,-0.04667509205445935,0,Fog
HIGH Trend + HIGH Leadership + LOW Participation,60,3.229278794402583,0.6833333333333333,0.7333333333333333,0.7333333333333333,0.8833333333333333,0.0018996960699355497,0.007606450142687111,0.011690145223753397,0.02740375333368811,0.0027662229867566,0.00839260540162625,0.01373126413899955,0.0337546611640614,-0.024379988842358643,HIGH,HIGH,LOW,0.12053458257863084,0.41263163641521106,-0.7586922680117617,0,Fog
LOW Trend + HIGH Leadership + LOW Participation,7,0.3767491926803014,0.7142857142857143,0.8571428571428571,0.8571428571428571,0.5714285714285714,0.006287082168693086,0.01812351704251926,0.009867436086467044,0.02261507002331009,0.0073852297204728,0.0122617772448345,0.0112473263513626,0.0074424338610254,-0.037883381435288195,LOW,HIGH,LOW,-0.03796581946260354,0.3940669028325944,-0.6680186809033284,0,Fog
HIGH Trend + HIGH Leadership + MEDIUM Participation,190,10.22604951560818,0.631578947368421,0.6157894736842106,0.7105263157894737,0.8157894736842105,0.0008856440358405241,0.0023726803025533242,0.009341603071629711,0.023178750578108632,0.0014873605915038499,0.0045290175163045,0.012567616570269901,0.030546323593201502,-0.02647355560816114,HIGH,HIGH,MEDIUM,0.12175161982146586,0.400286722197132,0.009785519053385944,0,Fog
HIGH Trend + MEDIUM Leadership + LOW Participation,80,4.3057050592034445,0.575,0.6,0.65,0.7125,-0.0003965454595404808,0.0032820920467082583,0.00890137110076357,0.01720990174771291,0.00161854440627535,0.0031436078548705,0.0106841695571503,0.0169592504839406,-0.032356618249661226,HIGH,MEDIUM,LOW,0.10625180751252465,0.26882979109715954,-0.5382345094955753,0,Fog
LOW Trend + LOW Leadership + HIGH Participation,59,3.1754574811625407,0.6440677966101694,0.6101694915254238,0.6440677966101694,0.6271186440677966,-0.00020097554617351757,0.004354415148559933,0.008629003243308979,0.016399450306236005,0.0034661011791137,0.0105695205082074,0.0106697229316825,0.0166532734362594,-0.05179275875765136,LOW,LOW,HIGH,-0.07429912977848235,0.05414250172875707,0.8670914325002461,1,Mixed Terrain
LOW Trend + MEDIUM Leadership + LOW Participation,55,2.960172228202368,0.509090909090909,0.5818181818181818,0.6363636363636364,0.6545454545454545,0.0020914862166172836,0.005363445168479715,0.007661761560126815,0.016385500695711153,0.0007488264242641,0.002666657428554,0.0082571624971097,0.0172391394992632,-0.0407049465147646,LOW,MEDIUM,LOW,-0.0387192344415249,0.21612279919174954,-0.8475194596211497,1,Mixed Terrain
MEDIUM Trend + LOW Leadership + LOW Participation,50,2.6910656620021527,0.54,0.58,0.68,0.54,-0.0010164058648673999,0.004821369835439622,0.0074995621358317326,0.0011338459569916652,0.00043898482647715,0.0056371316489908,0.00821648678033685,0.0043290222283259,-0.04951732802811168,MEDIUM,LOW,LOW,0.03620240843699716,0.07372887859917168,-0.5118760128938047,1,Mixed Terrain
LOW Trend + MEDIUM Leadership + MEDIUM Participation,92,4.951560818083961,0.5434782608695652,0.5543478260869565,0.5543478260869565,0.6413043478260869,-0.00011559480785251972,0.0031389877643069474,0.005682438542900686,0.012435962827761568,0.00067607470610195,0.00335321189424935,0.0050270199845201,0.0098804093461886,-0.03812683219519331,LOW,MEDIUM,MEDIUM,-0.018717039516688825,0.21337688857271167,0.02275906990018211,1,Mixed Terrain
