factor,horizon,quintile,sample_count,avg_forward_return,median_forward_return,win_rate,avg_forward_drawdown,drawdown_hit_rate_3pct
market_drawdown_252,1,1,393,0.0013654511673570522,0.0027060306252746358,0.6717557251908397,0.0019873668317088276,0.010178117048346057
market_drawdown_252,1,2,392,0.0006610084902635072,0.0014266479134766863,0.5739795918367347,0.0027371015052206626,0.002551020408163265
market_drawdown_252,1,3,392,8.865614117944301e-05,0.0006952418305641306,0.5382653061224489,0.002874485523103392,0.002551020408163265
market_drawdown_252,1,4,392,0.0003310479200068874,0.0005979900621380096,0.5255102040816326,0.0032295972973643374,0.00510204081632653
market_drawdown_252,1,5,393,0.0010774293287475877,0.0019415957968953457,0.5928753180661578,0.004563945664077899,0.022900763358778626
market_drawdown_252,5,1,392,0.00473250102194001,0.007280294688888467,0.673469387755102,0.00796976498915656,0.07908163265306123
market_drawdown_252,5,2,391,0.004772414784051383,0.004353160678703061,0.5856777493606138,0.009207873730851848,0.0792838874680307
market_drawdown_252,5,3,392,-0.0005436585244556666,0.00039237296199778893,0.5025510204081632,0.010890416097366013,0.10714285714285714
market_drawdown_252,5,4,391,0.001911613656522955,0.004727967305149017,0.5933503836317136,0.011191837084817774,0.09974424552429667
market_drawdown_252,5,5,392,0.006712250706010316,0.0076903892186762635,0.6301020408163265,0.014579397453244922,0.1683673469387755
market_drawdown_252,10,1,391,0.010131234773153926,0.014488752289801843,0.7340153452685422,0.012186500828979829,0.15601023017902813
market_drawdown_252,10,2,390,0.009539192507694957,0.012051194851802949,0.6487179487179487,0.014927925972524283,0.1794871794871795
market_drawdown_252,10,3,391,-0.0024740623109531846,-0.0014760958361274001,0.4731457800511509,0.018601953211985687,0.23017902813299232
market_drawdown_252,10,4,390,0.0010122137583589924,0.00654214700235789,0.6051282051282051,0.018741596624503025,0.20512820512820512
market_drawdown_252,10,5,391,0.017049152510094433,0.017848957369414276,0.6828644501278772,0.02027594969697093,0.24552429667519182
market_drawdown_252,20,1,389,0.022467485457593687,0.03224859213270448,0.8097686375321337,0.017365896229619357,0.2185089974293059
market_drawdown_252,20,2,388,0.01636283572779806,0.02220939237115327,0.7268041237113402,0.02387079264193106,0.28865979381443296
market_drawdown_252,20,3,389,-0.007246664728515253,-0.007647835586137353,0.4087403598971722,0.032011470886121295,0.4241645244215938
market_drawdown_252,20,4,388,0.0029717220614634506,0.006760146003260692,0.5824742268041238,0.029010315184505624,0.33505154639175255
market_drawdown_252,20,5,389,0.036749825056360014,0.040561104150441674,0.7840616966580977,0.02497071443572667,0.31362467866323906
above200_deterioration_5d,1,1,417,0.001894872193841693,0.0023210328922851353,0.6330935251798561,0.0019360275431461284,0.0
above200_deterioration_5d,1,2,417,0.0010694309844651003,0.001841519374113476,0.60431654676259,0.0023134297359553085,0.007194244604316547
above200_deterioration_5d,1,3,416,-0.00017137103371198809,0.0007414704899673108,0.5336538461538461,0.003031571779830349,0.004807692307692308
above200_deterioration_5d,1,4,415,0.00037187807604548,0.0007419231086593925,0.5397590361445783,0.0031306687068402357,0.0
